,text,vector,sentiment
24,"['many', 'thanks', 'one', 'event', 'sponsor', 'provide', 'chip', 'keep', 'belly', 'full']","[-0.8742619808763266, -88.75759391486645, -77.29966539144516, -5.494209919124842]",2
25,"['merry', 'somerset', 'webb', 'the', 'founder', 'rework', 'woodford', 'asset', 'management', 'able', 'jump', 'ship', 'rich', 'men']","[-9.23999230004847, -121.80079233646393, -117.08702141046524, -15.930055599659681]",2
26,"['rework', 'meet', 'would', 'support', 'event', 'interest', 'venue', 'space', 'they', '5', 'barcelona', 'other', 'work', 'orcs', 'would', 'first', 'route']","[-10.635529074817896, -142.24887911975384, -138.6631550192833, -27.592864774167538]",2
27,"['two', 'kind', 'will', 'compass', 'suffer', 'fate', 'rework']","[-3.873354023322463, -52.19523586332798, -55.423808157444, -10.228788740932941]",1
28,"['postbank', 'seek', 'control', 'rework', 'financing', 'package', 'w', 'via']","[-5.825792349874973, -71.98343260586262, -69.05797445774078, -9.854782406240702]",2
29,"['rework', 'profile', 'company', 'crisis', 'ft', 'via']","[-2.7697599828243256, -51.70012131333351, -48.74816423654556, -6.393109414726496]",1
30,"['goldman', 'sachs', 'unloaded', 'rework', 'share', 'investment', 'banker', 'pitch', 'investor', 'consider', '60', 'billion-plus', 'po']","[-1.5377631187438965, -135.1584826260805, -120.18099850416183, -2.486965946853161]",2
31,"['rework', 'failure', 'postbank', 'day', 'of', 'reckoning', 'wired']","[-4.399736408144236, -60.98977193236351, -60.597566306591034, -13.393503352999687]",1
32,"['without', 'new', 'cash', 'rework', 'unsustainable', ""n't"", 'constant', 'need', 'new', 'cash', 'definition', 'unsustainable', 'rework', 'could', 'run', 'out', 'of', 'cash', 'by', 'next', 'month', 'seeks', 'immediate', 'bail-out', 'zero', 'hedge']","[-16.23448451422155, -254.78547167778015, -221.1390484571457, -12.565272983163595]",1
33,"['rework', 'mulling', 'either', 'downward', 'valuation', 'revision', 'outright', 'po', 'cancellation']","[-7.823267642408609, -105.75624552369118, -91.61153793334961, -6.552282385528088]",1
34,"['founder', 'walk', 'away', '1', 'ibn', '4', '000', 'lose', 'job', 'today', 'cc']","[16.567028243094683, -60.532065123319626, -68.88747254014015, 0.1354988068342209]",1
35,"['rework', 'bond', 'price', 'fall', 'postbank', 'question', 'ceo', 'marketaxess']","[-4.420136487111449, -76.7500279545784, -71.75223135948181, -10.60464383289218]",1
36,"['schumpeter', 'rework', 'show', 'venture', 'capitalist', 'world', 'make-believe', 'via']","[-7.664030311629176, -83.43292610347271, -80.19370245933533, -10.303955417126417]",1
37,['control'],"[-1.6667943075299263, -10.040046617388725, -10.190472066402435, -2.514529287815094]",2
38,"['so', 'i', 'guess', 'mean', 'ibm', 'joint', 'venture', 'rework', 'either']","[-4.200329512357712, -72.75589627027512, -66.61988866329193, -9.471462592482567]",2
39,"['using', 'gifs', 'reply', 'go', 'play', 'adam', 'neumann', 'rework', 'movie']","[-1.2545242886990309, -79.98034617304802, -68.05275213718414, -3.5825903117656708]",1
40,"['rework', 'reportedly', 'cut', '2', '000', 'job', 'soon', 'week', 'staff', 'turn', 'adam', 'neumann']","[8.762090768665075, -84.41845951974392, -89.42260211706161, -8.581303227692842]",1
41,"['s', 'p', 'cites', 'concerns', 'rework', 'wont', 'be', 'able', 'fund', 'growth', 'plan']","[-7.328651560470462, -78.1785639822483, -80.40003401041031, -9.154462195932865]",1
42,"['from', 'rework', 'staff', 'chat', 'slack', 'via']","[-2.2081045135855675, -45.46272547543049, -45.05188435316086, -7.643032301217318]",2
43,"['rework', 'plan', 'ramp', 'marketing', 'spend', 'go', 'public']","[-3.5634730216115713, -59.47909091413021, -56.95924532413483, -5.912254154682159]",2
44,"['corsham', 'street', 'today', 'pm', 'pm', 'register', 'potential', 'donor', 'save', 'someone', 'life']","[-4.986015986651182, -107.4304391592741, -90.7675609588623, -10.698720462620258]",2
45,"['rework', 'concerns', 'seeping', 'into', 'singapore', 'real', 'estate', 'sector', 'bloomberg']","[-8.948342479765415, -93.19791850447655, -85.65778356790543, -13.185546435415745]",1
46,"['postbank', 'reportedly', 'take', 'control', 'rework', 'here', 'run', 'list', 'japanese', 'giant', 'major', 'investment', 'tech']","[-9.423681763932109, -129.012290507555, -116.17087465524673, -16.07669273018837]",2
47,"['postbank', 'take', 'control', 'rework', 'w']","[-4.176612302660942, -35.6052630841732, -41.56733953952789, -13.142353624105453]",2
48,"['rework', 'ceo', 'adam', 'neumann', 'step']","[-5.428191987797618, -43.12335601449013, -40.22890514135361, -7.05540182441473]",2
49,"['rework', 'say', 'file', 'withdraw', 'po']","[-3.322227304801345, -32.687346786260605, -38.78712385892868, -10.204345792531967]",2
50,"['postbank', 'ceo', 'say', 'rescue', 'investment', 'rework', 'debacle']","[-6.732821566984057, -68.93443478643894, -64.0731989145279, -8.360546723008156]",1
51,"['mao', 'company', 'rent', 'office', 'space', 'rework', 'told', 'u', 'recall', 'phone', 'booth', 'workspace', 'elevate', 'level', 'formaldehyde']","[-6.683310063555837, -142.7708681076765, -127.71557170152664, -19.446060344576836]",1
52,"['rework', 'seem', 'unicorn', 'unicorn', 'i', 'think', 'unravel', 'badly', 'too', 'much', 'hype', 'one']","[-5.46078541688621, -105.46775190532207, -92.10786706209183, -10.809882190078497]",1
53,"['i', 'solution', 'folk', 'buy', 'hell', 'work']","[2.1979080364108086, -43.198672994971275, -40.805650770664215, -6.838874492794275]",2
54,"['the', 'most', 'overvalued', 'world']","[-1.5890444554388523, -34.783224269747734, -33.42620998620987, -5.828563217073679]",1
55,"['los', 'esperamos', 'en', 'el', 'primo', 'workshop', 'de', 'management', '3', '0', 'que', 'llevaremos', 'cabo', 'en', 'el', 'rework', 'de', '81', 'los', 'da', '16', '17', 'de', 'november', 'inscríbete', 'participate', 'quieres', 'consular', 'en', 'qui', 'consists', 'este', 'workshop']","[7.522021234035492, -262.557237572968, -248.6550503373146, -21.047103717923164]",2
56,"['rework', 'ceo', 'adam', 'neumann', 'tell', 'employee', 'humble', 'collapse', 'firm', 'po']","[-3.4473771434277296, -93.38654947280884, -81.02750688791275, -7.26429720595479]",2
57,"['scoop', 'adam', 'neumann', 'determine', 'reworks', 'fate']","[-7.093294981867075, -61.91077956557274, -54.651008665561676, -7.636712644249201]",2
58,"['postbank', 'seek', 'avoid', 'reworks', 'liability', 'new', 'investment', 'source']","[-5.063414013013244, -81.67799484729767, -74.8919318318367, -7.0052528120577335]",1
59,"['explain', 'user', 'left', 'rework', 'why', 'tech', 'company', 'lose', 'money']","[-3.7610585689544678, -75.19933685660362, -70.73772710561752, -10.383841872215271]",2
60,"['the', 'outlook', 'public', 'debut', 'rework', 'rack', 'billion', 'dollar', 'loss', 'recent', 'year', 'company', 'fund', 'grand', 'ambition', 'cool', 'disappointment', 'major', 'ipos', 'year', 'left', 'inc', 'user', 'technologies', 'inc']","[-8.20032156817615, -252.016311109066, -210.0788128376007, -12.068318888545036]",1
61,"['nbc', 'rework', 'reportedly', 'expect', 'lay', '2', '000', 'worker', 'early', 'week', 'via']","[10.094769233837724, -66.16918727755547, -82.04185593128204, -14.56733226776123]",1
62,"['10', 'genomic', 'bump', 'po', 'price', 'range', 'rework', 'look', 'like', 'postbank', 'win']","[3.800447426736355, -78.64169542491436, -81.83511701226234, -11.318988762795925]",2
63,"['ceo', 'david', 'warn', 'growth', 'stock', 'like', 'via']","[-2.5952722541987896, -52.55164869129658, -51.29524374008179, -7.908593073487282]",2
64,"['save', 'date', 'working', 'women', 'wednesday', 'back', 'fall', 'we', 'kick', 'series', 'october', '16', 'you', 'want', 'miss', 'grab', 'girlfriend', 'meet', 'u', 'apollo', 'shaw', 'metro', 'station', 'register', 'at']","[-6.488954566419125, -207.19623912870884, -194.60090056061745, -19.561646960675716]",2
65,"['thank', 'kind', 'word', 'daniel', 'wishing', 'best', 'make', 'sure', 'make', 'voice', 'heard']","[-4.613079763948917, -92.90268643200397, -84.9985002875328, -10.257584676146507]",2
66,"['the', 'fact', 'i', 'opportunity', 'work', 'og', 'rework', 'qualifies', 'millennial', 'boy', 'scout', 'patch']","[-3.335498310625553, -110.8599738329649, -97.47848176956177, -9.27141072973609]",1
67,"['it', 'valuation', 'quite', 'high', 'back', 'as', 'phil', 'broughton', 'note', 'last', 'week', 'rework', 'wasnt', 'completely', 'dumb', 'idea', '10', 'year', 'ago', 'real', 'estate', 'cheap', 'lot', 'people', 'work', 'enough', 'cash', 'dream']","[-0.9725965727120638, -237.29857869446278, -213.4541742503643, -21.552646156400442]",3
68,['whom'],"[-1.3458950445055962, -3.831730827689171, -7.54725456237793, -2.6968454271554947]",2
69,"['postbank', 'take', '80', 'ownership', 'rework', 'announces', '5', 'billion', 'new', 'financing', 'package']","[-1.720886468887329, -99.80688028037548, -97.64585518836975, -4.655150718986988]",2
70,"['matador', 'set', 'po', 'term', '5', '9', 'billion', 'market', 'cap', 'price', 'middle', 'this', 'could', 'q4', 'version', 'zoom', 'overlook', 'say', 'favor', 'flashier', 'offering', 'left', 'user', 'rework', ""n't""]","[5.116115376353264, -205.93176421523094, -187.0506575703621, -20.151744425296783]",2
71,"['rework', 'flaw', 'offer', 'space', 'go', 'my', 'startup', 'send', 'dickhead', 'coworkers', 'house']","[-6.4646636713296175, -89.88980674743652, -89.59840655326843, -21.71105196326971]",1
72,"['jefferies', 'financial', 'group', 'earnings', 'take', 'hit', 'unlikely', 'source', 'drop', 'valuation']","[-4.552163479849696, -115.86114241182804, -92.57457154989243, -4.860762100666761]",1
73,"['see', 'post', 'day', 'ago', 'rework', 'disintegrate']","[-3.5536869429051876, -53.15611979365349, -48.838219940662384, -10.707944210618734]",1
74,"['the', 'fall', 'reworks', 'adam', 'neumann']","[-3.5572169851511717, -44.45047363638878, -40.55431592464447, -3.887022763490677]",1
75,"['the', 's', 'p', '500', ""n't"", 'overvalue', 'rework', 'user', 'tessa', 'legitimately', 'multimillion', 'dollar', 'company', 'they', 'sock', 'puppet', 'mascot', 'so', 'impressed', 'amount', 'rigor', 'apply', 'institutional', 'equity', 'market', 'analyst', 'self-serving', 'sheep']","[5.4816971980035305, -290.31461066007614, -243.60059660673141, -3.8933135457336903]",1
76,"['it', 'pay', 'soon', 'i', 'smile', 'for', 'believe', 'stay', 'tune']","[0.048361800611019135, -72.63041825592518, -59.838466346263885, -2.706831231713295]",3
77,"['ibm', 'even', 'sure', 'business', 'need', 'make', 'money', 'vcs', 'business', 'funding', 'company', 'hope', 'someday', 'become', 'profitable', 'i', 'think', 'real', 'story', 'grossly', 'postbank', 'mismanage', 'rework', 'this', 'come', 'surprise']","[-8.156474584713578, -257.08546225726604, -218.51175326108932, -9.950459975749254]",1
78,"['rework', 'trouble', 'leave', 'door', 'open', 'landlord']","[-2.574918808415532, -52.77574002742767, -51.08343696594238, -13.116722274571657]",1
79,"['bye', 'bye', 'stay', 'private', 'let', 'postbank', 'pay', 'loss', 'we', 'want']","[-2.0330872163176537, -75.43834227323532, -71.41224890947342, -4.193231325596571]",1
80,"['rework', 'delay', 'ibn', 'po', 'struggle', 'interest', 'investor']","[-3.9645289834588766, -64.65674954652786, -60.504297494888306, -8.155493974685669]",1
81,"['oracle', 'founder', 'larry', 'ellison', 'calls', 'user', 'rework', 'almost', 'worthless', 'via']","[-3.7660699542611837, -93.95089563727379, -86.49219810962677, -12.039275627583265]",1
82,"['taken', 'rework', 'incredibly', 'important', 'development', 'the', 'success', 'big', 'unicorn', 'use', 'evidence', 'raise', 'ten', 'billion', 'dollar', 'new', 'vc', 'fund', 'justify', 'countless', 'new', 'start-ups']","[-14.811513124033809, -227.14348600804806, -195.0139839053154, -2.8067056722939014]",2
83,"['hotel', 'push', '1', 'billion', 'highlight', 'landlord', 'as', 'stumbles', 'its', 'smaller', 'competitors', 'cash', 'in', 'read']","[2.872270291671157, -135.54024700820446, -113.20192071795464, 4.521880481392145]",1
84,"['accounting', 'manager', 'ventures', 'london', 'united', 'kingdom', 'rework', 'the', 'ventures', 'accounting', 'manager']","[-12.737012879922986, -135.20826502144337, -110.3998151421547, -4.974209822714329]",2
85,"['do', 'compass', 'and', 'open-door', 'have', 'a', 'rework', 'problem']","[-3.32554960437119, -65.9795252084732, -62.48683387041092, -13.366690512746572]",1
86,[],"[-0.24414794892072678, -0.7523792237043381, -1.8131031394004822, -1.7852350026369095]",2
87,"['nut', 'uh']","[-1.2788722515106201, -13.08884172141552, -11.8023162484169, -1.3311934508383274]",2
88,"['rework', 'worry', 'weak', 'wife', 'security', 'create', 'much', 'risk', 'make', 'sure', 'protect', 'information']","[-11.755979433655739, -103.96299789845943, -104.12734973430634, -25.380319219082594]",1
89,"['we', 'rework', 'may', 'drop', 'valuation', '20', 'dow', 'jones']","[3.4222755543887615, -52.18749925494194, -57.81560707092285, -9.953919600695372]",1
90,"['rework', 'new', 'chairman', 'say', 'job', 'cut', 'come', 'internal', 'memo']","[-6.76939108222723, -75.51258420944214, -70.4380658864975, -7.999005563557148]",1
91,"['once', 'puppy', 'appear', 'i', 'lose', 'interest', 'rework']","[-5.275422811508179, -58.15286663174629, -55.654775619506836, -12.341931484639645]",2
92,"['postbank', 'reportedly', 'press', 'package', 'take', 'control', 'rework', 'parent']","[-7.238409711048007, -76.90776850283146, -76.15619099140167, -19.56241585686803]",2
93,"['reworks', 'ceo', 'adam', 'neumann', 'is', 'out', 'here', 'why', 'about', 'more', 'than', 'just', 'po']","[-6.183420931920409, -101.97631359100342, -92.39130383729935, -15.162165626883507]",2
94,"['a', 'huge', 'thanks', 'partner', 'like', 'enable', 'u', 'connect', 'young', 'people', 'business', 'monitoring', 'our', 'partner', 'share', 'belief', 'young', 'people', 'power', 'change', 'world', 'find', 'support']","[-11.892791260033846, -220.09055690467358, -191.4945791363716, -18.746517807245255]",1
95,"['how', 'going', 'woke', 'makes', 'companies', 'like', 'california', 'utilities', 'and', 'rework', 'go', 'broke']","[-3.923219306394458, -109.37397438287735, -99.34189772605896, -16.72873354330659]",1
96,"['good', 'coffee', 'nice', 'light', 'stairwell', 'desk']","[-1.6662344448268414, -54.911975771188736, -49.091506481170654, -5.170891534537077]",3
97,"['financing', 'package', 'could', 'also', 'mean', 'financing', 'trip', 'bankruptcy', 'try', 'buy', 'whole', 'thing', 'shed', 'unattractive', 'liability', 'say']","[-7.172102387994528, -177.3306192010641, -141.93807697296143, 9.017645310610533]",1
98,"['name', 'company', 'important', 'we', 'confuse', 'name', 'it', 'lead', 'sentence', 'like', 'we', 'confirm', 'mr', 'neumann', 'ouster', 'the', 'wall', 'street', 'journal', 'report', 'without', 'give', 'detail', 'in', 'sentence', 'we', 'refers', 'rework', 'w']","[-23.645249094814062, -257.68400825560093, -234.25501769781113, -23.827175110578537]",2
99,"['new', 'top', 'story', 'hacker', 'news', 'deals', 'postbank', 'plans', 'b', 'rescue', 'financing', 'rework']","[-8.93355487845838, -100.4171513915062, -98.24753230810165, -11.378386218100786]",2
100,"['forget', 'rework', 'threatens', 'entire', 'economy']","[-6.785045959055424, -50.482966274023056, -49.22077524662018, -13.703478075563908]",1
101,"['rework', 'may', 'cut', 'po', 'valuation', 'billion', 'rework', 'one', 'high-profile']","[-2.5401592552661896, -83.39620517194271, -76.38858085870743, -11.997257523238659]",1
102,"['from', 'hot', 'to', 'not', 'a', 'tideline', 'of', 'rework', 'po', 'implosion', 'via']","[-0.6628425475209951, -85.94100776314735, -75.45114606618881, -12.373966254293919]",1
103,"['executive', 'race', 'city', 'city', 'attempt', 'win', 'increasingly', 'skeptical', 'investor']","[-8.58499002456665, -105.453987210989, -86.69401854276657, 1.7576340585947037]",2
104,"['hash', 'trending', 'stream', 'rework', 'issue', 'n', 'via']","[-4.482812447473407, -59.24395129084587, -54.674089431762695, -6.34944075345993]",1
105,"['i', 'tell', 'the', 'rework', 'beat', 'use', 'calmer']","[-3.202725000679493, -50.12625938653946, -49.09916138648987, -8.650817833840847]",2
106,"['oh', 'shit', 'rework', 'lawyer', 'call', 'say', 'infringe', 'trademark', 'previous', 'tweet', 'go', 'sue', 'u', 'put', 'follow', 'statement', 'go', 'we', 'firmly', 'believe', 'rework', 'great', 'company', 'buy', 'po']","[-7.995669765397906, -207.03534477949142, -192.98532730340958, -26.795823112130165]",1
107,"['mass', 'folly', 'how', 'rework', 'differs', 'from', 'user', 'and', 'air']","[-2.0347561948001385, -66.57422694563866, -65.78719419240952, -12.223023660480976]",2
108,"['we', 'wonderful', 'event', 'yesterday', 'hosted', 'partner', 'looking', 'forward', 'tonight', 'pm', 'pst', 'stay', 'tune', 'follow', 'along', 'event']","[-7.8913917019963264, -147.90144047141075, -134.7427917122841, -15.185530502349138]",3
109,"['postbank', 'seek', 'avoid', 'reworks', 'liability', 'new', 'investment', 'source', 'new', 'york', 'reuters', 'postbank', 'group', 'corp', '9984', 't', 'attempt', 'become', 'majority', 'owner', 'rework', 'without', 'assume', 'onerous']","[-8.856249367818236, -215.9234724789858, -210.3914645910263, -33.29516797885299]",1
110,"['greedy', 'po', 'proceeds', 'even', 'fear']","[-3.405886221677065, -41.75869010388851, -39.07809329032898, -9.474071465432644]",1
111,"['rework', 'could', 'run', 'out', 'money', 'next', 'month', 'report', 'gizmo', 'rework', 'could', 'run', 'out', 'money', 'next', 'month', 'report', 'gizmo', 'rework', 'said', 'be', 'talks', 'with', 'lenders', 'over', 'b', 'debt', 'package', 'bloomberg', 'technology', 'rework', 'run', 'cash', 'quartz', 'rework', 'could']","[-12.299404073506594, -296.1254190504551, -282.249912917614, -51.64985973760486]",1
112,"['this', 'piece', 'chockfull', 'incredible', 'quote', 'don', 'know', 'clip', 'this', 'paragraph', 'precious', 'though', 'will', 'rework', 'spell', 'end', 'illusion', 'distressed', 'asset', 'i', 'wonder']","[-8.36482922360301, -201.24435791373253, -179.1337901353836, -13.631471708416939]",1
113,"['tune', 'right', 'info', 'futures', 'conference', 'happen', 'saturday', '10', '5']","[2.0335518289357424, -80.60425280034542, -73.268718034029, -2.8344186171889305]",2
114,"['i', 'waste', 'hour', 'work', 'today', 'sit', 'toilet', 'reading', 'sweet', 'then', 'i', 'realize', 'hour', 'i', 'make', 'combine', 'profit', 'teslauberlyftwayfairweworkostk', 'i', 'might', 'god-king']","[-8.490903930738568, -195.04814997315407, -178.52873849868774, -24.899681478738785]",1
115,"['postbank', 'reportedly', 'end', 'rework', 'ownership', 'debacle', 'potential', '1', '7', 'billion', 'windfall', 'adam', 'neumann']","[-3.013105882331729, -127.7787172049284, -117.18496498465538, -2.6813417598605156]",1
116,"['please', 'buy', 'one', 'toy', 'homeless', 'child', 'postbank', 'take', 'control', 'rework', 'w', 'see']","[-3.5760745387524366, -97.64933335781097, -92.23090040683746, -16.743040088564157]",2
117,"[""softbank's"", 'plan', 'second', 'megafauna', 'hit', 'rework', 'debacle']","[-3.792587962001562, -72.52423407137394, -65.25136357545853, -3.7104684114456177]",1
118,"['more', 'evidence', 'expose', 'rework', 'economic', 'slowdown']","[-7.136115130037069, -57.09116396307945, -57.97993505001068, -13.623906318098307]",1
119,"['another', 'zombie', 'industry']","[-2.2571078669279814, -34.12034560739994, -29.51157706975937, -2.3594369888305664]",1
120,"['reworks', 'po', 'filing', 'audacious', 'prospectus', 'ever', 'see', 'company', 'disrupts', 'big', 'industry', 'double', 'revenue', 'every', 'year', 'but', 'exposure', 'economic', 'risk', 'valuation', 'absolute', 'founder', 'control', 'simply', 'extraordinary']","[-12.065620269626379, -277.418030872941, -230.64394754171371, -19.655556611716747]",2
121,"['slack', 'stock', 'downhill', 'interest', 'static', 'reworks', 'valuation', 'downgrade', 'underwriter', 'po', 'so', 'i', 'see', 'silver', 'line']","[-9.618046671152115, -142.3322314620018, -130.4730967283249, -14.747227489948273]",1
122,"['founder', 'make', 'best', 'business', 'move', 'yet', 'quit', 'via']","[-1.3010750766843557, -72.0622105896473, -60.17911010980606, -1.5764337293803692]",1
123,"['goldman', 'take', 'l', 'rework', '80', 'million', 'goldman', 'hold', 'bag', 'make', 'feel', 'great']","[6.897391809150577, -95.4840644299984, -87.38752126693726, -5.642592456191778]",1
124,"['rework', 'allege', 'pregnancy', 'discrimination', 'jul', 'meltdown', 'cost', 'atrium', '4', '5', 'billion', 'leon', 'cooperman', 'take', 'elizabeth', 'warren', 'today', 'yearbook', 'briefing']","[-5.757265398278832, -195.12998288869858, -171.7205280661583, -10.29170247912407]",1
125,"['we', 'valuation']","[-2.113118000328541, -19.28815035521984, -17.450789391994476, -1.0469748713076115]",2
126,"['now', 'rework', 'crash', 'might', 'resolve']","[-3.7423389479517937, -36.770306795835495, -41.34179073572159, -10.25753466039896]",1
127,"['vc', 'ben', 'horowitz', 'rework', 'user', 'one', 'cultural', 'value', 'employee', 'break', 'techcrunch']","[-8.240722075104713, -99.85280258953571, -94.96245229244232, -15.786885067820549]",2
128,"['provide', 'lifeline']","[-0.7871747743338346, -24.247822806239128, -20.25800460577011, -0.45908646658062935]",2
129,"['rework', 'selling', 'conductor', 'company', 'layoffs', 'possible', 'via', 'martinibuster']","[-4.239890789613128, -95.54951950907707, -81.41950261592865, -1.7075224034488201]",2
130,"['now', 'rework']","[-3.224413998425007, -7.85817763209343, -16.12316530942917, -8.861808765679598]",2
131,"['adam', 'neumann', 'fly', 'high', 'literally', 'rework', 'month', 'away', 'value', '47', 'billion', 'revenue', 'double', 'annually', 'and', 'mr', 'neumann', 'zip', 'across', 'atlantic', 'ocean', 'gulfstream', 'g60', 'private', 'jet', 'smoking', 'marijuana']","[0.7237950544804335, -274.1482044607401, -226.6899327635765, 8.470835231244564]",1
132,"['this', 'seem', 'obviously', 'smart', 'long', 'term', 'they', 'need', 'people', 'stop', 'shovel', 'money', 'unprofitable', 'competitor', 'need', 'take', 'short', 'term', 'hit', 'throw', 'fuel', 'fire', 'rework', 'start', 'thats', 'trainer']","[-10.468210946768522, -239.21151812374592, -212.40462011098862, -28.300042156130075]",2
133,"['an', 'enormous', 'new', 'fund', 'po', 'plan', 'pizza', 'executive', 'move', 'pe', 'join', 'ongoing', 'saga', 'recap', 'week']","[-5.56591441296041, -129.22114339470863, -112.05301690101624, -9.780361905694008]",2
134,"['nva', 'this', 'stock', 'go', '23', '2015', '5', '2018', 'turds', 'unsustainable', 'business', 'model', 'finance', 'endless', 'shareholder', 'cash', 'infusion', 'fly', 'far', 'fall', 'earth']","[24.247155904769897, -178.7412387430668, -164.32719039916992, 11.70001270622015]",1
135,"['rework', 'first', 'work', 'company', 'found', '2010']","[10.441709706559777, -34.363486006855965, -47.29491904377937, -6.609549771994352]",2
136,"['easy', 'rework', 'all', 'u']","[-0.9153473377227783, -25.341333359479904, -26.44440323114395, -7.413688328117132]",2
